line,official_km,section,source,checked
jr-west.sanyo,530.8,神戸〜下関 など,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.kosei,74.1,山科〜近江塩津,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.sanin,676.0,京都〜幡生 など,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.kakogawa,48.5,加古川〜谷川,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.kusatsu,36.7,柘植〜草津,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.kishin,158.1,姫路〜新見,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.nara,34.7,京都〜木津,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.osaka-loop,20.7,天王寺〜新今宮,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.sakurajima,4.1,西九条〜桜島,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.fukuchiyama,106.5,尼崎〜福知山,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.maizuru,26.4,東舞鶴〜綾部,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.bantan,65.7,和田山〜姫路,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.kansai,115.0,亀山〜JR難波,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.ako,57.4,相生〜東岡山,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.sakurai,29.4,奈良〜高田,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.katamachi,50.0,木津〜京橋 など,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.tozai,12.5,京橋〜尼崎,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.tsuyama,58.7,津山〜岡山,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
